region,country,iso3,year,pathogen,specimen,antibiotic,resistant,tested,ast_standard,ast_version,test_method,source_url
EU_EEA,Austria,AUT,2001,Escherichia coli,Blood/invasive,Aminoglycosides,4,260,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2002,Escherichia coli,Blood/invasive,Aminoglycosides,17,475,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2003,Escherichia coli,Blood/invasive,Aminoglycosides,46,982,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2004,Escherichia coli,Blood/invasive,Aminoglycosides,101,1834,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2005,Escherichia coli,Blood/invasive,Aminoglycosides,111,2048,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2006,Escherichia coli,Blood/invasive,Aminoglycosides,188,2472,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2007,Escherichia coli,Blood/invasive,Aminoglycosides,178,2539,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2008,Escherichia coli,Blood/invasive,Aminoglycosides,195,2982,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2009,Escherichia coli,Blood/invasive,Aminoglycosides,152,2561,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2010,Escherichia coli,Blood/invasive,Aminoglycosides,181,2910,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2011,Escherichia coli,Blood/invasive,Aminoglycosides,228,3137,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2012,Escherichia coli,Blood/invasive,Aminoglycosides,232,3702,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2013,Escherichia coli,Blood/invasive,Aminoglycosides,313,4367,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2014,Escherichia coli,Blood/invasive,Aminoglycosides,335,4726,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2015,Escherichia coli,Blood/invasive,Aminoglycosides,341,4884,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2016,Escherichia coli,Blood/invasive,Aminoglycosides,410,5248,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
