country,iso3,eurostat_geo,year,population,projection,source_url
Austria,AUT,AT,2026,9125881,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Belgium,BEL,BE,2026,11867591,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Bulgaria,BGR,BG,2026,6802438,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Croatia,HRV,HR,2026,3788113,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Cyprus,CYP,CY,2026,946441,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Czechia,CZE,CZ,2026,10984063,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Denmark,DNK,DK,2026,5998728,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Estonia,EST,EE,2026,1374354,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Finland,FIN,FI,2026,5644445,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Germany,DEU,DE,2026,85309747,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Greece,GRC,EL,2026,10266269,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Hungary,HUN,HU,2026,9620993,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Iceland,ISL,IS,2026,409113,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Ireland,IRL,IE,2026,5289027,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Italy,ITA,IT,2026,58898864,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Latvia,LVA,LV,2026,1842409,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Lithuania,LTU,LT,2026,2842081,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Luxembourg,LUX,LU,2026,698278,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Malta,MLT,MT,2026,563990,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Netherlands,NLD,NL,2026,18125648,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Norway,NOR,NO,2026,5532441,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Poland,POL,PL,2026,38197684,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Portugal,PRT,PT,2026,10350500,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Romania,ROU,RO,2026,18714611,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Slovakia,SVK,SK,2026,5507802,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Slovenia,SVN,SI,2026,2121073,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Spain,ESP,ES,2026,48822977,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
Sweden,SWE,SE,2026,10770866,BSL,https://ec.europa.eu/eurostat/databrowser/product/page/proj_23np
