Model,Split,RMSE,MAE,R2,WeightedRMSE,BestParams,Horizon
Persistence,Validation,1.8261521283099529,1.121885755989256,0.9908368363079283,0.8814752037016867,,1
Ridge,Validation,1.6773923545327376,1.0852347574339634,0.9922689077442753,1.0100741008237974,{'model__alpha': 10.0},1
Random forest,Validation,1.7755178261220785,1.1309728374622308,0.9913379315504397,0.9400302700376856,"{'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}",1
Gradient boosting,Validation,1.8931898379418772,1.232379825454664,0.9901517318147184,1.204496794688401,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",1
ANN,Validation,1.9387274486153014,1.3855266636183812,0.9896722657182155,1.5563038258179527,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64, 32)}",1
Ridge,Test,2.9747323339291056,1.6440438700723345,0.9762137988323308,1.5184022337852234,,1
Persistence,Test,2.4613571410259887,1.4295563341569402,0.9837153447994671,1.3003594696633896,,1
Persistence,Validation,3.1606725747254227,2.0601173981791536,0.9725507455214486,2.993841449234805,,3
Ridge,Validation,2.479367199503288,1.5840739611354908,0.9831090825160128,1.5042420139261683,{'model__alpha': 0.1},3
Random forest,Validation,2.2968948584367563,1.4990763961277571,0.985503813473128,1.9915183095965558,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",3
Gradient boosting,Validation,2.260417488958556,1.4956025005809215,0.9859605900701053,2.054725193897435,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",3
ANN,Validation,2.402142732470211,1.5753688358721203,0.9841448937916192,1.6260761112150512,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64, 32)}",3
Gradient boosting,Test,2.294529435293,1.571218534862853,0.9859319875660495,1.7404650709379692,,3
Persistence,Test,2.330583783474558,1.5434049271460402,0.9854864077667794,1.5296824852086441,,3
Persistence,Validation,4.161185896601689,2.7923938416702137,0.9524220447900835,3.9402568891444316,,5
Ridge,Validation,2.6831032155213457,1.7965218947729678,0.9802190886388467,1.746986671693246,{'model__alpha': 0.1},5
Random forest,Validation,2.809653335995652,1.867441442917141,0.9783091278511703,2.585203511301224,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",5
Gradient boosting,Validation,2.4174545346320704,1.6293634839609414,0.983942121506259,2.2539531318888635,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",5
ANN,Validation,2.428015994118887,1.6923441236041263,0.9838015065774667,2.354211570168077,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64, 32)}",5
Gradient boosting,Test,2.672347316478121,1.8588679259275094,0.9809176753894429,2.0811545404837264,,5
Persistence,Test,3.4716432835066393,2.4178824268869166,0.9677955663893331,2.9887962560856653,,5
