"Year","Strategy","ActivatedCountries","EligibleEpisodes","Uptake","TreatedEpisodes","SetupCostEUR","OperatingCostEUR","VariableCostEUR","AnnualBudgetImpactEUR","PersistenceBudgetEUR","IncrementalBudgetVsPersistenceEUR"
2026,"ML forecast-guided planning",12,83825.4303221027,0.35,29338.9006127359,1800000,9e+05,1026861.52144576,3726861.52144576,4670561.37288665,-943699.851440888
2027,"ML forecast-guided planning",12,83825.4303221027,0.4625,38769.2615239725,0,9e+05,1356924.15333904,2256924.15333904,3059313.24274307,-802389.089404031
2028,"ML forecast-guided planning",12,83825.4303221027,0.575,48199.6224352091,0,9e+05,1686986.78523232,2586986.78523232,3548065.11259949,-961078.327367174
2029,"ML forecast-guided planning",12,83825.4303221027,0.6875,57629.9833464456,0,9e+05,2017049.4171256,2917049.4171256,4036816.98245591,-1119767.56533032
2030,"ML forecast-guided planning",12,83825.4303221027,0.8,67060.3442576822,0,9e+05,2347112.04901888,3247112.04901888,4525568.85231234,-1278456.80329346
2026,"Persistence-guided planning",14,124127.459011155,0.35,43444.6106539042,2100000,1050000,1520561.37288665,4670561.37288665,4670561.37288665,0
2027,"Persistence-guided planning",14,124127.459011155,0.4625,57408.9497926591,0,1050000,2009313.24274307,3059313.24274307,3059313.24274307,0
2028,"Persistence-guided planning",14,124127.459011155,0.575,71373.288931414,0,1050000,2498065.11259949,3548065.11259949,3548065.11259949,0
2029,"Persistence-guided planning",14,124127.459011155,0.6875,85337.6280701689,0,1050000,2986816.98245591,4036816.98245591,4036816.98245591,0
2030,"Persistence-guided planning",14,124127.459011155,0.8,99301.9672089239,0,1050000,3475568.85231234,4525568.85231234,4525568.85231234,0
