Strategy,Year,ActivatedCountries,EligibleEpisodes,Uptake,TreatedEpisodes,SetupCostEUR,OperatingCostEUR,VariableCostEUR,AnnualBudgetImpactEUR,PersistenceBudgetEUR,IncrementalBudgetVsPersistenceEUR
ML forecast-guided planning,2026,12,83825.43032210274,0.35,29338.900612735957,1800000.0,900000.0,1026861.5214457585,3726861.5214457586,4670561.372886647,-943699.8514408879
ML forecast-guided planning,2027,12,83825.43032210274,0.4625,38769.26152397252,0.0,900000.0,1356924.1533390381,2256924.153339038,3059313.242743069,-802389.0894040307
ML forecast-guided planning,2028,12,83825.43032210274,0.575,48199.62243520907,0.0,900000.0,1686986.7852323176,2586986.7852323176,3548065.1125994907,-961078.327367173
ML forecast-guided planning,2029,12,83825.43032210274,0.6875,57629.98334644563,0.0,900000.0,2017049.4171255971,2917049.417125597,4036816.982455913,-1119767.5653303158
ML forecast-guided planning,2030,12,83825.43032210274,0.8,67060.3442576822,0.0,900000.0,2347112.049018877,3247112.049018877,4525568.852312336,-1278456.8032934587
Persistence-guided planning,2026,14,124127.45901115482,0.35,43444.61065390419,2100000.0,1050000.0,1520561.3728866465,4670561.372886647,4670561.372886647,0.0
Persistence-guided planning,2027,14,124127.45901115482,0.4625,57408.94979265911,0.0,1050000.0,2009313.2427430688,3059313.242743069,3059313.242743069,0.0
Persistence-guided planning,2028,14,124127.45901115482,0.575,71373.28893141402,0.0,1050000.0,2498065.1125994907,3548065.1125994907,3548065.1125994907,0.0
Persistence-guided planning,2029,14,124127.45901115482,0.6875,85337.62807016894,0.0,1050000.0,2986816.982455913,4036816.982455913,4036816.982455913,0.0
Persistence-guided planning,2030,14,124127.45901115482,0.8,99301.96720892386,0.0,1050000.0,3475568.8523123353,4525568.852312336,4525568.852312336,0.0
