country,iso3,antibiotic,antibiotic_family,OriginYear,LatestObservedResistancePct,tested,Horizon,ForecastTargetYear,SelectedMLModel,ModelForecastPct,PersistenceForecastPct,RecommendedMethod,RecommendedForecastPct,Lower80Pct,Upper80Pct,Lower95Pct,Upper95Pct,ReportedEcoliBSIEpisodesOrigin,population_coverage_pct,geographical_representativeness,hospital_representativeness,isolate_representativeness,blood_culture_rate_per_1000_patient_days,source_url,PopulationOrigin,ProjectedPopulationTargetYear,CoverageAdjustedEcoliBSIEpisodesOrigin,TotalEcoliBSIIncidencePer100kOrigin,EconomicCohortEpisodes,RepresentativenessCaution,IncidenceMeasurementCV,ForecastIncreasePP,PersistenceProgrammeTriggered,ForecastProgrammeTriggered
Bulgaria,BGR,Third-generation cephalosporins,J01D_other_beta_lactams,2023,37.25490196078432,306,3,2026,Extra Trees,37.051670621776815,37.25490196078432,Extra Trees,37.051670621776815,34.45143301575516,39.65190822779847,32.31702249751472,41.78631874603891,306,45,Medium,Medium,Medium,12.8,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,6446596,6802438.0,680.0,10.54820249322278,717.5349347159338,Medium,0.223606797749979,-0.2032313390075089,True,True
Cyprus,CYP,Third-generation cephalosporins,J01D_other_beta_lactams,2023,34.74320241691843,331,3,2026,Extra Trees,31.45278657941504,34.74320241691843,Extra Trees,31.45278657941504,28.852548973393382,34.05302418543669,26.71813845515294,36.187434703677134,331,82,High,High,High,69.4,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,1344976,946441.0,403.6585365853659,30.012322642587367,284.04892654173034,High,0.1,-3.2904158375033887,True,True
Italy,ITA,Third-generation cephalosporins,J01D_other_beta_lactams,2023,26.676471618167174,28557,3,2026,Extra Trees,25.016685958265672,26.676471618167174,Extra Trees,25.016685958265672,22.416448352244014,27.61692356428733,20.28203783400357,29.75133408252777,28594,66,High,High,High,61.2,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,58984216,58898864.0,43324.242424242424,73.45056925778655,43261.55089436952,High,0.1,-1.6597856599015017,True,True
Croatia,HRV,Third-generation cephalosporins,J01D_other_beta_lactams,2023,20.0,1310,3,2026,Extra Trees,23.628147860490603,20.0,Extra Trees,23.628147860490603,21.02791025446895,26.228385466512258,18.893499736228502,28.3627959847527,1310,90,High,High,High,29.0,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,3859686,3788113.0,1455.5555555555554,37.711760893387584,1428.5641169313312,High,0.1,3.6281478604906034,True,True
Latvia,LVA,Third-generation cephalosporins,J01D_other_beta_lactams,2023,25.379609544468547,461,3,2026,Extra Trees,23.17639070231008,25.379609544468547,Extra Trees,23.17639070231008,20.576153096288422,25.77662830833173,18.441742578047982,27.91103882657217,461,90,High,High,Medium,24.8,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,1883710,1842409.0,512.2222222222222,27.192201677658566,500.9915710073324,Medium,0.223606797749979,-2.203218842158467,True,True
Greece,GRC,Third-generation cephalosporins,J01D_other_beta_lactams,2023,22.82921219091432,1739,3,2026,Extra Trees,21.38932940641645,22.82921219091432,Extra Trees,21.38932940641645,18.7890918003948,23.989567012438105,16.654681282154357,26.123977530678545,1867,68,High,High,High,,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,10407351,10266269.0,2745.5882352941176,26.381239907197493,2708.369054408245,High,0.1,-1.4398827844978683,True,True
Hungary,HUN,Third-generation cephalosporins,J01D_other_beta_lactams,2023,21.335268505079824,2756,3,2026,Extra Trees,21.358800765383457,21.335268505079824,Extra Trees,21.358800765383457,18.758563159361803,23.95903837140511,16.624152641121363,26.09344888964555,2756,90,High,High,High,19.5,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,9592186,9620993.0,3062.222222222222,31.92413306228864,3071.4186072334755,High,0.1,0.023532260303632313,True,True
Slovakia,SVK,Third-generation cephalosporins,J01D_other_beta_lactams,2023,21.55172413793104,696,3,2026,Extra Trees,20.213814329187503,21.55172413793104,Extra Trees,20.213814329187503,17.61357672316585,22.81405193520916,15.479166204925408,24.9484624534496,696,54,High,High,High,30.6,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,5426740,5507802.0,1288.888888888889,23.750702795580565,1308.1416835890423,High,0.1,-1.337909808743536,True,True
Poland,POL,Third-generation cephalosporins,J01D_other_beta_lactams,2023,19.563090968373004,3067,3,2026,Extra Trees,19.475999487205804,19.563090968373004,Extra Trees,19.475999487205804,16.87576188118415,22.07623709322746,14.741351362943709,24.2106476114679,3067,21,Medium,Medium,High,55.1,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,36687353,38197684.0,14604.761904761905,39.80870984276763,15206.005190217276,Medium,0.223606797749979,-0.08709148116719945,True,True
Romania,ROU,Third-generation cephalosporins,J01D_other_beta_lactams,2023,19.09090909090909,990,3,2026,Extra Trees,19.38785115387698,19.09090909090909,Extra Trees,19.38785115387698,16.787613547855326,21.988088759898638,14.653203029614884,24.122499278139077,990,13,Low,Low,Low,39.7,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,19061062,18714611.0,7615.384615384615,39.952572502962404,7476.968528422377,Low,0.36400549446402586,0.29694206296789005,True,True
Lithuania,LTU,Third-generation cephalosporins,J01D_other_beta_lactams,2023,16.95945945945946,1480,3,2026,Extra Trees,15.29364358370599,16.95945945945946,Extra Trees,15.29364358370599,12.693405977684336,17.893881189727644,10.558995459443894,20.028291707968087,1480,100,High,High,High,8.8,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,2871585,2842081.0,1480.0,51.539480809378794,1464.793791582001,High,0.1,-1.66581587575347,True,True
Portugal,PRT,Third-generation cephalosporins,J01D_other_beta_lactams,2023,17.195064813368734,6403,3,2026,Extra Trees,15.071369761250237,17.195064813368734,Extra Trees,15.071369761250237,12.471132155228585,17.67160736727189,10.33672163698814,19.806017885512333,6407,98,High,High,High,323.6,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,10578174,10350500.0,6537.755102040816,61.80419325718046,6397.043023084463,High,0.1,-2.1236950521184976,True,True
Spain,ESP,Third-generation cephalosporins,J01D_other_beta_lactams,2023,16.215341460783257,9269,3,2026,Extra Trees,14.436811264782593,16.215341460783257,Extra Trees,14.436811264782593,11.836573658760935,17.037048870804245,9.702163140520495,19.171459389044685,9617,28,Medium,High,High,606.6,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,48352528,48822977.0,34346.428571428565,71.03336680023962,34680.604335206626,Medium,0.223606797749979,-1.7785301960006645,True,False
Czechia,CZE,Third-generation cephalosporins,J01D_other_beta_lactams,2023,15.878725590955806,3892,3,2026,Extra Trees,14.12592340207679,15.878725590955806,Extra Trees,14.12592340207679,11.525685796055136,16.726161008098444,9.391275277814694,18.860571526338887,3892,70,High,High,High,18.2,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,10864042,10984063.0,5560.0,51.1780053869453,5621.424353845465,High,0.1,-1.7528021888790164,True,False
Malta,MLT,Third-generation cephalosporins,J01D_other_beta_lactams,2023,11.298076923076923,416,3,2026,Extra Trees,12.734231341896916,11.298076923076923,Extra Trees,12.734231341896916,10.133993735875263,15.334468947918571,7.999583217634822,17.468879466159013,416,95,High,High,High,32.8,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,552747,563990.0,437.89473684210526,79.22154925166582,446.80161562447006,High,0.1,1.4361544188199922,False,False
Estonia,EST,Third-generation cephalosporins,J01D_other_beta_lactams,2023,11.439114391143912,1084,3,2026,Extra Trees,11.934838091611796,11.439114391143912,Extra Trees,11.934838091611796,9.334600485590142,14.53507569763345,7.200189967349701,16.669486215873892,1084,100,High,High,High,40.2,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,1370286,1374354.0,1084.0,79.10757316355856,1087.2180960762935,High,0.1,0.4957237004678845,False,False
Iceland,ISL,Third-generation cephalosporins,J01D_other_beta_lactams,2023,12.015503875968992,258,3,2026,Extra Trees,11.053145793350508,12.015503875968992,Extra Trees,11.053145793350508,8.452908187328854,13.653383399372162,6.318497669088412,15.787793917612603,258,100,High,High,High,72.0,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,385663,409113.0,258.0,66.89778381644078,273.6875303049554,High,0.1,-0.9623580826184845,False,False
Luxembourg,LUX,Third-generation cephalosporins,J01D_other_beta_lactams,2023,11.713665943600867,461,3,2026,Extra Trees,10.908210940481728,11.713665943600867,Extra Trees,10.908210940481728,8.307973334460074,13.508448546503384,6.173562816219633,15.642859064743824,461,100,High,High,High,42.5,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,666430,698278.0,461.0,69.17455696772355,483.03071290308065,High,0.1,-0.805455003119139,False,False
Ireland,IRL,Third-generation cephalosporins,J01D_other_beta_lactams,2023,10.423348300192432,3118,3,2026,Extra Trees,10.093172328862646,10.423348300192432,Extra Trees,10.093172328862646,7.492934722840992,12.6934099348843,5.358524204600551,14.827820453124742,3118,92,High,High,High,56.5,https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf,5311538,5289027.0,3389.1304347826085,63.80695073220993,3374.766852103281,High,0.1,-0.33017597132978516,False,False
