"Field","Value"
"authoritative","true"
"engine","R_authoritative"
"r_version","R version 4.3.3 (2024-02-29)"
"random_seed","20260905"
"psa_simulations","50000"
"cross_country_forecast_correlation","0.25"
"generated_at_utc","2026-09-05 18:03:38 UTC"
"md5_economic_parameters.csv","4f05165a46278f5dc8fff450ba999bb6"
"md5_future_forecasts.csv","63e0026aa94d7df6f3875c22e8ac3b10"
"md5_ears_net_ecoli_blood.csv","f480de30a4d0a3402e13107774123e0b"
"md5_ecdc_earsnet_coverage_2023.csv","327edebda117cc03ee85fdad60a95edc"
"md5_eurostat_population_projection_2026.csv","7d6fde4d74e6a7dea4f12e03bc64242f"
