"WillingnessToPayEURPerQALY","ProbabilityCostEffectiveVsUsual","ProbabilityCostEffectiveVsPersistence"
0,0,0.52936
2500,0.86528,0.19356
5000,0.95804,0.10424
7500,0.97378,0.09828
10000,0.9793,0.10668
12500,0.98214,0.11642
15000,0.98364,0.1238
17500,0.98476,0.12888
20000,0.98534,0.13254
22500,0.98598,0.1349
25000,0.98646,0.13632
27500,0.98674,0.13816
30000,0.98706,0.13916
32500,0.98728,0.13962
35000,0.9875,0.14048
37500,0.98762,0.14114
40000,0.98786,0.14148
42500,0.98796,0.14176
45000,0.98808,0.14204
47500,0.98818,0.14224
50000,0.98824,0.14226
52500,0.98836,0.14234
55000,0.9884,0.14246
57500,0.98846,0.14254
60000,0.9885,0.1426
62500,0.98854,0.14252
65000,0.98856,0.14252
67500,0.98862,0.14258
70000,0.98868,0.14258
72500,0.98872,0.14252
75000,0.98874,0.14254
77500,0.98874,0.14262
80000,0.9888,0.1425
82500,0.98884,0.14252
85000,0.98886,0.14248
87500,0.9889,0.1424
90000,0.9889,0.14242
92500,0.9889,0.14246
95000,0.98892,0.14242
97500,0.98892,0.14242
1e+05,0.98892,0.1424
