"iso3","country","antibiotic","antibiotic_family","OriginYear","LatestObservedResistancePct","tested","Horizon","ForecastTargetYear","SelectedMLModel","ModelForecastPct","PersistenceForecastPct","RecommendedMethod","RecommendedForecastPct","Lower80Pct","Upper80Pct","Lower95Pct","Upper95Pct","ReportedEcoliBSIEpisodesOrigin","population_coverage_pct","geographical_representativeness","hospital_representativeness","isolate_representativeness","blood_culture_rate_per_1000_patient_days","source_url","PopulationOrigin","ProjectedPopulationTargetYear","CoverageAdjustedEcoliBSIEpisodesOrigin","TotalEcoliBSIIncidencePer100kOrigin","EconomicCohortEpisodes","RepresentativenessCaution","IncidenceMeasurementCV","ForecastIncreasePP","PersistenceProgrammeTriggered","ForecastProgrammeTriggered","ForecastResistantEpisodes","UsualCareDeaths","PersistenceDeaths","ForecastDeaths","PersistenceStrategyCostEUR","ForecastStrategyCostEUR","IncrementalCostForecastVsUsualEUR","IncrementalCostForecastVsPersistenceEUR","QALYGainedForecastVsUsual","QALYGainedForecastVsPersistence","IncrementalNMBForecastVsUsualEUR","IncrementalNMBForecastVsPersistenceEUR"
"BGR","Bulgaria","Third-generation cephalosporins","J01D_other_beta_lactams",2023,37.2549019607843,306,3,2026,"Extra Trees",37.0516706217768,37.2549019607843,"Extra Trees",37.0516706217768,34.4514330157552,39.6519082277985,32.3170224975147,41.7863187460389,306,45,"Medium","Medium","Medium",12.8,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",6446596,6802438,680,10.5482024932228,717.534934715934,"Medium",0.223606797749979,-0.203231339007509,TRUE,TRUE,265.858680607129,39.8788020910694,32.166975833541,32.166975833541,175113.722715058,175113.722715058,175113.722715058,0,61.6946100602273,0,1675724.57909176,0
"CYP","Cyprus","Third-generation cephalosporins","J01D_other_beta_lactams",2023,34.7432024169184,331,3,2026,"Extra Trees",31.452786579415,34.7432024169184,"Extra Trees",31.452786579415,28.8525489733934,34.0530241854367,26.7181384551529,36.1874347036771,331,82,"High","High","High",69.4,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",1344976,946441,403.658536585366,30.0123226425874,284.04892654173,"High",0.1,-3.29041583750339,TRUE,TRUE,89.3413026462898,13.4011953969435,10.8096508889513,10.8096508889513,159941.712428961,159941.712428961,159941.712428961,0,20.7323560639374,0,462028.969489161,0
"ITA","Italy","Third-generation cephalosporins","J01D_other_beta_lactams",2023,26.6764716181672,28557,3,2026,"Extra Trees",25.0166859582657,26.6764716181672,"Extra Trees",25.0166859582657,22.416448352244,27.6169235642873,20.2820378340036,29.7513340825278,28594,66,"High","High","High",61.2,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",58984216,58898864,43324.2424242424,73.4505692577866,43261.5508943695,"High",0.1,-1.6597856599015,TRUE,TRUE,10822.6063279197,1623.39094918795,1309.45702209576,1309.45702209576,1664154.28130293,1664154.28130293,1664154.28130293,0,2511.47141673752,0,73679988.2208226,0
"HRV","Croatia","Third-generation cephalosporins","J01D_other_beta_lactams",2023,20,1310,3,2026,"Extra Trees",23.6281478604906,20,"Extra Trees",23.6281478604906,21.0279102544689,26.2283854665123,18.8934997362285,28.3627959847527,1310,90,"High","High","High",29,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",3859686,3788113,1455.55555555556,37.7117608933876,1428.56411693133,"High",0.1,3.6281478604906,TRUE,TRUE,337.543241830447,50.631486274567,40.8402888254005,40.8402888254005,199999.744092597,199999.744092597,199999.744092597,0,78.3295795933322,0,2149887.64370737,0
"LVA","Latvia","Third-generation cephalosporins","J01D_other_beta_lactams",2023,25.3796095444685,461,3,2026,"Extra Trees",23.1763907023101,25.3796095444685,"Extra Trees",23.1763907023101,20.5761530962884,25.7766283083317,18.441742578048,27.9110388265722,461,90,"High","High","Medium",24.8,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",1883710,1842409,512.222222222222,27.1922016776586,500.991571007332,"Medium",0.223606797749979,-2.20321884215847,TRUE,TRUE,116.111763882301,17.4167645823451,14.048682910268,14.048682910268,167534.704985257,167534.704985257,167534.704985257,0,26.9446533766166,0,640804.896313242,0
"GRC","Greece","Third-generation cephalosporins","J01D_other_beta_lactams",2023,22.8292121909143,1739,3,2026,"Extra Trees",21.3893294064165,22.8292121909143,"Extra Trees",21.3893294064165,18.7890918003948,23.9895670124381,16.6546812821544,26.1239775306785,1867,68,"High","High","High",NA,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",10407351,10266269,2745.58823529412,26.3812399071975,2708.36905440825,"High",0.1,-1.43988278449787,TRUE,TRUE,579.301978588826,86.8952967883239,70.09134590992,70.09134590992,244792.916904289,244792.916904289,244792.916904289,0,134.431607027231,0,3788155.29391265,0
"HUN","Hungary","Third-generation cephalosporins","J01D_other_beta_lactams",2023,21.3352685050798,2756,3,2026,"Extra Trees",21.3588007653835,21.3352685050798,"Extra Trees",21.3588007653835,18.7585631593618,23.9590383714051,16.6241526411214,26.0934488896456,2756,90,"High","High","High",19.5,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",9592186,9620993,3062.22222222222,31.9241330622886,3071.41860723348,"High",0.1,0.0235322603036323,TRUE,TRUE,656.018180989914,98.402727148487,79.3734510608272,79.3734510608272,257499.651253172,257499.651253172,257499.651253172,0,152.234208701279,0,4309526.60978519,0
"SVK","Slovakia","Third-generation cephalosporins","J01D_other_beta_lactams",2023,21.551724137931,696,3,2026,"Extra Trees",20.2138143291875,21.551724137931,"Extra Trees",20.2138143291875,17.6135767231658,22.8140519352092,15.4791662049254,24.9484624534496,696,54,"High","High","High",30.6,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",5426740,5507802,1288.88888888889,23.7507027955806,1308.14168358904,"High",0.1,-1.33790980874354,TRUE,TRUE,264.425331083396,39.6637996625095,31.993550917019,31.993550917019,195784.958925616,195784.958925616,195784.958925616,0,61.3619899639236,0,1645074.73999209,0
"POL","Poland","Third-generation cephalosporins","J01D_other_beta_lactams",2023,19.563090968373,3067,3,2026,"Extra Trees",19.4759994872058,19.563090968373,"Extra Trees",19.4759994872058,16.8757618811842,22.0762370932275,14.7413513629437,24.2106476114679,3067,21,"Medium","Medium","High",55.1,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",36687353,38197684,14604.7619047619,39.8087098427676,15206.0051902173,"Medium",0.223606797749979,-0.0870914811671994,TRUE,TRUE,2961.5214928712,444.228223930681,358.322662529401,358.322662529401,682210.181657605,682210.181657605,682210.181657605,0,687.244491210236,0,19935124.5546495,0
"ROU","Romania","Third-generation cephalosporins","J01D_other_beta_lactams",2023,19.0909090909091,990,3,2026,"Extra Trees",19.387851153877,19.0909090909091,"Extra Trees",19.387851153877,16.7876135478553,21.9880887598986,14.6532030296149,24.1224992781391,990,13,"Low","Low","Low",39.7,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",19061062,18714611,7615.38461538462,39.9525725029624,7476.96852842238,"Low",0.364005494464026,0.29694206296789,TRUE,TRUE,1449.62352911276,217.443529366913,175.393953367314,175.393953367314,411693.898494783,411693.898494783,411693.898494783,0,336.396607996797,0,9680204.34140912,0
"LTU","Lithuania","Third-generation cephalosporins","J01D_other_beta_lactams",2023,16.9594594594595,1480,3,2026,"Extra Trees",15.293643583706,16.9594594594595,"Extra Trees",15.293643583706,12.6934059776843,17.8938811897276,10.5589954594439,20.0282917079681,1480,100,"High","High","High",8.8,"https://www.ecdc.europa.eu/sites/default/files/documents/antimicrobial-resistance-annual-epidemiological-report-EARS-Net-2023.pdf",2871585,2842081,1480,51.5394808093788,1464.793791582,"High",0.1,-1.66581587575347,TRUE,TRUE,224.020341720804,33.6030512581207,27.1048396911418,27.1048396911418,201267.78270537,201267.78270537,201267.78270537,0,51.9856925358309,0,1358302.99336956,0
