Feature,Group,Horizon,AvailableN,MissingPct,UniqueValues,StandardDeviation,Pearson,Spearman,MutualInformation
resistance_pct,Resistance history/base,3,1146,0.0,1035,20.289710421890426,0.9882646903461436,0.9811684284854932,1.8181719911759764
resistance_lag1,Resistance history/base,3,1146,0.0,1028,20.367055938689344,0.985356638321327,0.9774351359367646,1.7118997826346605
resistance_lag2,Resistance history/base,3,1146,0.0,1025,20.42661223382786,0.9818260255594108,0.9741368771230159,1.6634582099006674
resistance_lag3,Resistance history/base,3,1146,0.0,1023,20.465625517489215,0.9769031559764326,0.9680535114777264,1.5412753302148499
family_consumption_lag1,Consumption,3,703,38.65619546247818,688,3.3237156367619476,0.8472610293144746,0.8982751058145524,0.8442944315461691
family_consumption_lag2,Consumption,3,594,48.167539267015705,582,3.30613278394913,0.8509275047338427,0.8997670337688208,0.7199172455436775
family_consumption_lag3,Consumption,3,490,57.24258289703316,480,3.288667987670902,0.8538036833221188,0.900129788355695,0.5812510096661994
resistance_volatility4,Resistance history/base,3,1146,0.0,1064,1.2845082352419566,0.4710339915865332,0.6891148618029302,0.5584758551080062
resistance_trend4,Resistance history/base,3,1146,0.0,1088,1.1788247964475835,0.01607066277737991,-0.005297004190124844,0.397775640807712
population,Demographics,3,1146,0.0,231,21093511.829314712,0.014194971987240929,0.03610107874522401,0.3823366537958326
urban_pct,Demographics,3,1146,0.0,231,12.36311409452984,-0.12834575310990368,-0.15941992446422282,0.32251992893505443
gdp_per_capita,Demographics,3,1146,0.0,231,24640.01922112645,-0.1737143162835214,-0.24074185252114408,0.2243651919731997
log_tested,Resistance history/base,3,1146,0.0,863,1.4142299214569793,-0.16039361904799204,-0.16472678410721805,0.16152568469060746
consumption_community,Consumption,3,1046,8.726003490401396,211,3.9915296350099454,0.1672449199043985,0.19909040368392578,0.14493839489589977
health_expenditure_pct_gdp,Demographics,3,1146,0.0,231,1.841390134171891,-0.16151748973256105,-0.17529363200493928,0.1351850919151305
reserve_pct_lag1,Prescribing behaviour,3,798,30.36649214659686,160,1.9907998615071063,0.07969346538502292,0.09746996989189129,0.07665552901348249
consumption_hospital,Consumption,3,927,19.10994764397906,186,0.27805889750460433,0.01006759217555236,-0.004430529778566238,0.0653267519225107
breakpoint_change_from_prior,Resistance history/base,3,1146,0.0,2,0.32660819931064083,-0.007342330458341458,0.0034224134201184192,0.0
age65_pct,Demographics,3,1146,0.0,231,2.574577397957417,-0.03095403682273107,0.008217240208499043,0.0
