Horizon,FeatureSet,Split,FeatureCount,FeaturesUsed,RMSE,MAE,R2,WeightedRMSE,DeltaRMSE_vs_Base,RelativeRMSEChange_vs_Base_pct,DeltaRMSE_vs_Persistence,EvidenceLabel
3,Base + demographics,Test,16,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; population; age65_pct; urban_pct; gdp_per_capita; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version,2.230949181027543,1.5715774959336857,0.9867008209878475,1.6620302561384914,-0.2737354991357508,-10.928940529069093,-0.09963460244701494,Improved
3,Full model,Test,23,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; family_consumption_lag2; family_consumption_lag3; consumption_community; consumption_hospital; reserve_pct_lag1; population; age65_pct; urban_pct; gdp_per_capita; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version; antibiotic_family,2.3012260191092673,1.5792746482126345,0.9858497527553646,1.7460032583253622,-0.20345866105402655,-8.123124745617162,-0.029357764365290695,Improved
3,Persistence,Test,1,resistance_pct,2.330583783474558,1.5434049271460402,0.9854864077667794,1.5296824852086441,-0.17410089668873585,-6.951010563029646,0.0,Reference
3,Base resistance history,Test,11,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; antibiotic; ast_standard; ast_version,2.504684680163294,1.7323655142806147,0.9832370057686631,1.8954612862643372,0.0,0.0,0.17410089668873585,Reference
3,Base + consumption,Test,17,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; family_consumption_lag2; family_consumption_lag3; consumption_community; consumption_hospital; antibiotic; ast_standard; ast_version; antibiotic_family,2.517888181551393,1.7227135484104157,0.98305980694363,1.811977727825992,0.013203501388099337,0.5271522396678903,0.1873043980768352,No material change
3,Base + prescribing behaviour,Test,12,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; reserve_pct_lag1; antibiotic; ast_standard; ast_version,2.562077578232893,1.7506928219048037,0.9824599822595953,1.8750686130934988,0.05739289806959924,2.2914220909379095,0.2314937947583351,Worsened
3,Base + prescribing behaviour,Validation,12,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; reserve_pct_lag1; antibiotic; ast_standard; ast_version,2.2475091707616657,1.5046618976621364,0.9861204788695886,2.0315986927351437,-0.18718475252259736,-7.6882252316174435,-0.9131634039637571,Improved
3,Full model,Validation,23,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; family_consumption_lag2; family_consumption_lag3; consumption_community; consumption_hospital; reserve_pct_lag1; population; age65_pct; urban_pct; gdp_per_capita; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version; antibiotic_family,2.2683474493295557,1.5028491655659348,0.9858619116167427,2.0652877368000357,-0.16634647395470736,-6.83233618664951,-0.8923251253958671,Improved
3,Base + consumption,Validation,17,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; family_consumption_lag1; family_consumption_lag2; family_consumption_lag3; consumption_community; consumption_hospital; antibiotic; ast_standard; ast_version; antibiotic_family,2.3282287478651598,1.4998499615442247,0.985105606200317,2.0842104337708274,-0.10646517541910328,-4.372836125351142,-0.832443826860263,Improved
3,Base resistance history,Validation,11,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; antibiotic; ast_standard; ast_version,2.434693923284263,1.6193376856903363,0.9837122805190877,2.2554478568152523,0.0,0.0,-0.7259786514411597,Reference
3,Base + demographics,Validation,16,resistance_pct; resistance_lag1; resistance_lag2; resistance_lag3; resistance_trend4; resistance_volatility4; log_tested; breakpoint_change_from_prior; population; age65_pct; urban_pct; gdp_per_capita; health_expenditure_pct_gdp; antibiotic; ast_standard; ast_version,2.490308088011257,1.6231540534135929,0.9829596819842756,2.1399566133720556,0.0556141647269941,2.28423639600553,-0.6703644867141656,Worsened
3,Persistence,Validation,1,resistance_pct,3.1606725747254227,2.0601173981791536,0.9725507455214486,2.993841449234805,0.7259786514411597,29.8180664311946,0.0,Reference
