,missing_pct
region,0.0
country,0.0
iso3,0.0
year,0.0
pathogen,0.0
specimen,0.0
antibiotic,0.0
resistant,0.0
tested,0.0
ast_standard,0.0
ast_version,0.0
test_method,0.0
source_url_x,0.0
resistance_pct,0.0
breakpoint_change_from_prior,0.0
antibiotic_family,0.0
family_consumption,34.77987421383648
family_consumption_lag1,41.76100628930818
family_consumption_lag2,48.679245283018865
family_consumption_lag3,55.59748427672956
consumption_community,16.28930817610063
consumption_hospital,24.40251572327044
access_pct,100.0
broad_narrow_ratio,100.0
oral_parenteral_ratio,100.0
reserve_pct,24.40251572327044
access_pct_lag1,100.0
broad_narrow_ratio_lag1,100.0
oral_parenteral_ratio_lag1,100.0
reserve_pct_lag1,32.893081761006286
population,0.0
age65_pct,0.0
urban_pct,0.0
gdp_per_capita,0.0
health_expenditure_pct_gdp,0.0
source_url_y,0.0
resistance_lag1,0.3144654088050315
resistance_lag2,0.628930817610063
resistance_lag3,0.628930817610063
resistance_trend4,0.3144654088050315
resistance_volatility4,0.3144654088050315
log_tested,0.0
target_resistance_h1,9.559748427672957
target_tested_h1,9.559748427672957
target_resistance_h3,27.92452830188679
target_tested_h3,27.92452830188679
target_resistance_h5,46.0377358490566
target_tested_h5,46.0377358490566
