Iteration,Stage,Candidate,Accepted,Model,FeatureCount,CV_RMSE,CV_MAE,CV_WeightedRMSE,ImprovementPct,FoldWinRate
0,Base model tuning,Resistance history,True,Ridge,11,2.177982375954355,1.4320348761822683,1.4497036049519416,0.0,
1,Group forward selection,Existing consumption history,False,Ridge,15,2.1607854814435,1.4213727303695922,1.4183794160910002,0.7895791398825964,0.6
1,Group forward selection,Consumption dynamics,False,Ridge,19,2.2578755508621646,1.4914996174903832,1.6083678474052159,-3.668219531519485,0.4
1,Group forward selection,Prescribing mix dynamics,False,Ridge,16,2.1646293415926863,1.4216707943020797,1.4120434129620527,0.6130919381667401,0.8
1,Group forward selection,Testing and reported burden,False,Ridge,15,2.1790452772872575,1.42995430807493,1.442533256835531,-0.048802108990294725,0.4
1,Group forward selection,Existing static demographics,False,Ridge,16,2.218638760647428,1.4689330188619818,1.4885646934808185,-1.8666994343908896,0.4
1,Group forward selection,Demographic change,False,Ridge,19,2.1587262995522765,1.3964338096213191,1.3619609392356158,0.8841245280343785,0.6
1,Group forward selection,European AMR context,False,Ridge,14,2.309579506322091,1.5393777985192953,1.6623327465775886,-6.042157724534971,0.2
1,Group forward selection,Cross-antibiotic context,False,Ridge,15,2.175785008967457,1.4307789157158368,1.4353761418697526,0.10089002606989128,0.6
1,Group forward selection,Mechanistic interactions,False,Ridge,15,2.2164679014904767,1.46446078479289,1.483445270756272,-1.767026490251471,0.2
1,Group forward selection,Origin time,True,Ridge,12,2.1364744446977046,1.3865743833394018,1.3361688068084152,1.905797389130026,0.6
1,Group forward selection,Country fixed effect,False,Ridge,12,2.258249280598069,1.491494517510801,1.5143116474207794,-3.6853789787230267,0.2
2,Group forward selection,Existing consumption history,False,Ridge,16,2.106049088513753,1.3544076416115058,1.3138973116096944,1.42409174420323,0.4
2,Group forward selection,Consumption dynamics,False,Ridge,20,2.201264882501759,1.4176487760671805,1.5221518126928069,-3.032586603825332,0.4
2,Group forward selection,Prescribing mix dynamics,False,Ridge,17,2.129198114829349,1.3780583593727522,1.3134861662099346,0.34057649912051013,0.8
2,Group forward selection,Testing and reported burden,True,Ridge,16,2.10082821010172,1.3418334752516892,1.2863574279089152,1.6684606120354688,0.6
2,Group forward selection,Existing static demographics,False,Ridge,17,2.165075366727801,1.3959316684162963,1.3515314128656812,-1.338697127928579,0.4
2,Group forward selection,Demographic change,False,Ridge,20,2.1666948774492103,1.4110230128584955,1.3246870879470007,-1.414500081033341,0.4
2,Group forward selection,European AMR context,False,Ridge,15,2.1450769880996647,1.3941053318867755,1.4009108917297435,-0.402651359734719,0.4
2,Group forward selection,Cross-antibiotic context,False,Ridge,16,2.134102344292336,1.386856280238503,1.3262505800145084,0.11102872825162022,0.6
2,Group forward selection,Mechanistic interactions,False,Ridge,16,2.1362744140490557,1.3712995367944296,1.328193636708097,0.00936265112580052,0.4
2,Group forward selection,Country fixed effect,False,Ridge,13,2.2126857152654327,1.4281486664250849,1.4002474475517241,-3.567151049097213,0.2
3,Group forward selection,Existing consumption history,False,Ridge,20,2.106966088745434,1.3538164335604201,1.3077734095376898,-0.292164709813035,0.6
3,Group forward selection,Consumption dynamics,False,Ridge,24,2.228684323679266,1.4466907291728364,1.5156570172956454,-6.085986134551923,0.2
3,Group forward selection,Prescribing mix dynamics,False,Ridge,21,2.1608014584578994,1.4007603192890543,1.3288063205474356,-2.854743099307278,0.2
3,Group forward selection,Existing static demographics,False,Ridge,21,2.1483823364772565,1.3786659800935626,1.3168932822871768,-2.2635894808949684,0.4
3,Group forward selection,Demographic change,False,Ridge,24,2.169734772305846,1.4107979963525938,1.3268445457667306,-3.2799712928830895,0.4
3,Group forward selection,European AMR context,False,Ridge,19,2.145702124953967,1.3910681854983573,1.4091593839222691,-2.136010676002608,0.4
3,Group forward selection,Cross-antibiotic context,False,Ridge,20,2.0997682698793736,1.3391153332716468,1.2731510740102305,0.05045344580055043,0.6
3,Group forward selection,Mechanistic interactions,False,Ridge,20,2.112751384750436,1.3545451828711006,1.3018247631695081,-0.5675463891518542,0.4
3,Group forward selection,Country fixed effect,False,Ridge,17,2.180599833729489,1.3949364565415554,1.3591828404727613,-3.797151201806575,0.2
1,Individual forward selection,family_consumption_mean3,False,Ridge,17,2.0930408780808465,1.3395365370420411,1.2868951004965494,0.3706791437504733,0.4
1,Backward elimination,testing_volatility4,False,Ridge,15,2.095191402431851,1.3376967142156566,1.2830797647112824,0.2683135937895564,0.6
