Model,ParameterSet,Parameters,CV_RMSE,CV_MAE,CV_R2,CV_WeightedRMSE,FoldRMSEMean,FoldRMSESD,Stage
Ridge,3,{'alpha': 10.0},2.177982375954355,1.4320348761822683,0.9876120755181025,1.4497036049519416,2.154752580816699,0.3172515491397215,Base feature tuning
Ridge,2,{'alpha': 1.0},2.1835503748811607,1.4272325532890915,0.9875486552450229,1.4282628461958191,2.162011440616113,0.3059391610904,Base feature tuning
Ridge,1,{'alpha': 0.1},2.1885175272466686,1.4281057610569399,0.987491942037909,1.424526192754571,2.16728412494058,0.3041192017062009,Base feature tuning
Ridge,4,{'alpha': 100.0},2.227190825615048,1.5566515446256308,0.987045976374344,1.536642947057236,2.203195192232149,0.32605201828693736,Base feature tuning
Extra trees,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",2.239187911841356,1.478189643512598,0.9869060430490817,1.6380126895169,2.207050030671126,0.37801146365028876,Base feature tuning
Random forest,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",2.261579562079323,1.4833921559232022,0.9866428572179555,1.569190841473953,2.232642076398616,0.3606265025055414,Base feature tuning
Extra trees,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",2.2736468178172036,1.4736373034561336,0.9864999358008469,1.5753575673665101,2.2401113095071277,0.3890644846147714,Base feature tuning
Random forest,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",2.293182316951775,1.4946628684772707,0.9862669501889326,1.5669181570898616,2.265474008970938,0.35540491479079944,Base feature tuning
Gradient boosting,1,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",2.293384749932546,1.5622625127504686,0.9862645254842831,1.6751240251639838,2.271044192634764,0.3193303717516996,Base feature tuning
Gradient boosting,2,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3}",2.3370389048379976,1.5732944928492638,0.9857366443513297,1.6241139409815337,2.315600232131873,0.3158265468215132,Base feature tuning
Gradient boosting,3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",2.3477199395886066,1.5488195425651594,0.9856059699874337,1.6659777756773582,2.3278315595641583,0.3049412157105512,Base feature tuning
Gradient boosting,4,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 3}",2.3665300444612587,1.5530605054980147,0.9853743939320213,1.5966566858835607,2.349537666339625,0.2830851564267472,Base feature tuning
Histogram gradient boosting,1,"{'max_iter': 200, 'learning_rate': 0.05, 'max_leaf_nodes': 15, 'l2_regularization': 1.0}",2.3933537485156604,1.5380244515070802,0.9850409637374868,1.5327061408095488,2.367287957533019,0.3522639516798609,Base feature tuning
Histogram gradient boosting,2,"{'max_iter': 200, 'learning_rate': 0.05, 'max_leaf_nodes': 31, 'l2_regularization': 1.0}",2.4262883867880642,1.5663954727750549,0.9846264322572283,1.5456675853442754,2.400002904432239,0.35617607244092453,Base feature tuning
Histogram gradient boosting,3,"{'max_iter': 200, 'learning_rate': 0.1, 'max_leaf_nodes': 15, 'l2_regularization': 1.0}",2.4522558797670113,1.5740947827644416,0.9842955982847438,1.5620529188940797,2.4283244630275664,0.3417589824916987,Base feature tuning
Histogram gradient boosting,4,"{'max_iter': 200, 'learning_rate': 0.1, 'max_leaf_nodes': 31, 'l2_regularization': 1.0}",2.487550920262143,1.6144722178530106,0.9838402816943419,1.6066651758738644,2.459858796113596,0.37014089760468893,Base feature tuning
Ridge,5,{'alpha': 300.0},2.6222649709252304,2.052154266312013,0.9820426199581226,2.015330469222367,2.5945619262430277,0.3801604774717739,Base feature tuning
ANN,1,"{'hidden_layer_sizes': (32,), 'alpha': 0.01}",3.42772083073987,2.288380594138824,0.9693167955145952,2.682154113463897,3.1311810716043813,1.3946236733665704,Base feature tuning
Ridge,3,{'alpha': 10.0},2.10082821010172,1.3418334752516892,0.9884742045474045,1.2863574279089152,2.0871225146701398,0.2395804188914207,Optimized feature retuning
Ridge,2,{'alpha': 1.0},2.1034980884814867,1.330749125775514,0.9884448903694649,1.2613853850353378,2.0919675652479626,0.21994525272390159,Optimized feature retuning
Ridge,1,{'alpha': 0.1},2.1085198052351406,1.3306252468405435,0.9883896530942324,1.2578315657751045,2.09721863700914,0.21801320522014142,Optimized feature retuning
Ridge,4,{'alpha': 100.0},2.191654814392399,1.4663766187872957,0.9874560551915401,1.4274788968349992,2.176486491437566,0.2574050854959449,Optimized feature retuning
Extra trees,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",2.2184954710267313,1.454828726827099,0.9871469286092187,1.5480863750418328,2.1881716647934972,0.3655501612104311,Optimized feature retuning
Extra trees,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",2.2239637031354174,1.4462159874412739,0.987083489041807,1.4683888168550325,2.197565489516858,0.34164377961310866,Optimized feature retuning
Random forest,2,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 5, 'max_features': 0.7}",2.2292582614345657,1.456946049964596,0.987021915532826,1.5134593849586166,2.2052151117974232,0.32652520097925025,Optimized feature retuning
Random forest,1,"{'n_estimators': 150, 'max_depth': None, 'min_samples_leaf': 2, 'max_features': 0.7}",2.2401845674257683,1.464870043234178,0.9868943842958862,1.488795692256944,2.216205173963099,0.3268968079253263,Optimized feature retuning
Gradient boosting,1,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",2.271706856236638,1.531908935570137,0.9865229635047934,1.5863730732835493,2.2508043021653914,0.3074606219116727,Optimized feature retuning
Gradient boosting,3,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 3}",2.294977654847097,1.4948022411005932,0.9862454384966673,1.5490766657557482,2.2766821008116187,0.2892076210812496,Optimized feature retuning
