Feature,ImportanceMean,ImportanceSD,Horizon
resistance_pct,4.954040589372933,0.2892804970686945,5
resistance_lag1,3.434172396515345,0.22990417706060842,5
antibiotic,3.1029371347699963,0.2209508723637717,5
antibiotic_family,2.967255567961468,0.2145184554906147,5
resistance_lag2,2.3782150565259763,0.1849422832673814,5
resistance_lag3,1.7438712738055322,0.1538017038735309,5
country,0.7250495293171811,0.10437040543239241,5
ast_tested_per_100k,0.20190594955677155,0.02821716228823083,5
log_tested,0.1066870267263105,0.024227055063805784,5
reported_resistant_per_100k,0.04411259491723696,0.010961450788842803,5
resistance_volatility4,0.027457290790707224,0.011886585520287022,5
family_consumption_lag3,0.020649409045909697,0.04653051710888651,5
family_consumption_lag1,0.0060512419815989945,0.03175679925596559,5
family_consumption_lag2,0.004890947738120118,0.03458708880210814,5
resistance_trend4,0.0023833101850821476,0.00528285795730248,5
testing_volatility4,0.001405385213870547,0.008665066795385189,5
origin_year_index,0.0,0.0,5
tested_growth1,-0.0032725375167836023,0.004792541164919474,5
