Horizon,Specification,Split,Model,RMSE,MAE,R2,WeightedRMSE
1,Persistence,Rolling CV,Persistence,2.2731482349992245,1.4078345342732013,0.9865058559481599,1.3769411387668664
1,Resistance-history baseline,Rolling CV,Ridge,2.177982375954355,1.4320348761822683,0.9876120755181025,1.4497036049519416
1,Optimized features,Rolling CV,Ridge,2.10082821010172,1.3418334752516892,0.9884742045474045,1.2863574279089152
1,Persistence,Latest-year confirmation,Persistence,2.4613571410259882,1.4295563341569402,0.9837153447994671,1.3003594696633898
1,Optimized features,Latest-year confirmation,Ridge,3.034265929448222,1.7292951964801069,0.9752522009673757,1.6900049774910217
3,Persistence,Rolling CV,Persistence,3.158012537448575,2.098823983310382,0.9739519540616233,2.581069664675956
3,Resistance-history baseline,Rolling CV,Extra trees,2.8195147400871536,1.957415918707986,0.9792367091198728,2.2226509527932508
3,Optimized features,Rolling CV,Extra trees,2.325036882836751,1.5568160730421658,0.9858808958208267,1.6297674045883066
3,Persistence,Latest-year confirmation,Persistence,2.3305837834745575,1.5434049271460402,0.9854864077667794,1.5296824852086441
3,Optimized features,Latest-year confirmation,Extra trees,2.0881892003971463,1.3980354088598874,0.9883484107161731,1.3171917376008109
5,Persistence,Rolling CV,Persistence,4.02232633662504,2.7493915029955884,0.9563405112614192,3.5258240931021336
5,Resistance-history baseline,Rolling CV,Extra trees,3.07166020549928,2.2258762843775752,0.9745392974495339,2.377571446594507
5,Optimized features,Rolling CV,Extra trees,2.392866516157989,1.663830733955272,0.9845488437011625,1.7470950162401768
5,Persistence,Latest-year confirmation,Persistence,3.4716432835066393,2.4178824268869166,0.9677955663893331,2.9887962560856662
5,Optimized features,Latest-year confirmation,Extra trees,1.976973524190424,1.3266661941622846,0.9895564732571248,1.31799471935096
