Horizon,Feature,Type
1,resistance_pct,numeric
1,resistance_lag1,numeric
1,resistance_lag2,numeric
1,resistance_lag3,numeric
1,resistance_trend4,numeric
1,resistance_volatility4,numeric
1,log_tested,numeric
1,breakpoint_change_from_prior,numeric
1,origin_year_index,numeric
1,ast_tested_per_100k,numeric
1,reported_resistant_per_100k,numeric
1,tested_growth1,numeric
1,testing_volatility4,numeric
1,antibiotic,categorical
1,ast_standard,categorical
1,ast_version,categorical
3,resistance_pct,numeric
3,resistance_lag1,numeric
3,resistance_lag2,numeric
3,resistance_lag3,numeric
3,resistance_trend4,numeric
3,resistance_volatility4,numeric
3,log_tested,numeric
3,log_population,numeric
3,population_growth1,numeric
3,population_growth3,numeric
3,age65_change1,numeric
3,urban_change1,numeric
3,log_gdp_per_capita,numeric
3,gdp_growth1,numeric
3,health_expenditure_change1,numeric
3,family_consumption_lag1,numeric
3,family_consumption_lag2,numeric
3,family_consumption_lag3,numeric
3,antibiotic,categorical
3,country,categorical
3,antibiotic_family,categorical
5,resistance_pct,numeric
5,resistance_lag1,numeric
5,resistance_lag2,numeric
5,resistance_lag3,numeric
5,resistance_trend4,numeric
5,resistance_volatility4,numeric
5,log_tested,numeric
5,family_consumption_lag1,numeric
5,family_consumption_lag2,numeric
5,family_consumption_lag3,numeric
5,ast_tested_per_100k,numeric
5,reported_resistant_per_100k,numeric
5,tested_growth1,numeric
5,testing_volatility4,numeric
5,origin_year_index,numeric
5,antibiotic,categorical
5,country,categorical
5,antibiotic_family,categorical
