Feature,ImportanceMean,ImportanceSD,Horizon
resistance_pct,12.59925363973282,0.5733855579211302,3
resistance_lag1,6.4342278116768075,0.4052196748811359,3
resistance_lag2,1.36072013925054,0.09526463341858284,3
resistance_lag3,0.31243856191475256,0.02800919802421946,3
family_consumption_lag1,0.2291757574990791,0.03794478902947931,3
antibiotic,0.21874446039293782,0.0208210269628282,3
log_tested,0.17690865024202423,0.07832352736063639,3
antibiotic_family,0.17169868566900037,0.020963532241119714,3
gdp_per_capita,0.17119495355540298,0.05314027597369737,3
consumption_community,0.08525854681496407,0.0440213698528816,3
family_consumption_lag3,0.07674610369530747,0.06319762374217273,3
resistance_volatility4,0.05819255743712146,0.036598087456845285,3
resistance_trend4,0.03956650151012937,0.010266753961780641,3
urban_pct,0.0391005700326831,0.016943038885206804,3
consumption_hospital,0.03122775147914374,0.015171204849482702,3
health_expenditure_pct_gdp,0.009903913274537457,0.007544326072831448,3
age65_pct,0.004407171382904274,0.009891714194502896,3
family_consumption_lag2,0.003655273121611247,0.005595943825264105,3
breakpoint_change_from_prior,0.0,0.0,3
ast_standard,0.0,0.0,3
ast_version,0.0,0.0,3
population,-0.009730213526910614,0.03622584854562049,3
reserve_pct_lag1,-0.04470632625640296,0.02410859738998005,3
