Metric,Estimate,Lower95,Upper95,ProbabilityModelWorse,BootstrapReplicates,Horizon
RMSEDifference,-0.021942073017023545,-0.3604973053106168,0.5268198399714288,0.381,1000,1
Skill,0.009310059434092398,-0.21832852833118685,0.14588529566214672,0.381,1000,1
WeightedRMSEDifference,0.0037550260350051956,-0.2752155670344705,0.26670461159721504,0.506,1000,1
WeightedSkill,-0.009684869814140667,-0.21765462403332322,0.16726660784217687,0.506,1000,1
RMSEDifference,-0.8326234694377196,-1.3623335003492962,-0.25806230184488593,0.007,1000,3
Skill,0.2701372536034889,0.1006389223401838,0.3812762483288296,0.007,1000,3
WeightedRMSEDifference,-1.0134029078132671,-1.7515640994180508,-0.247934933139036,0.004,1000,3
WeightedSkill,0.3739227333132916,0.1550681391944536,0.5078057748268683,0.004,1000,3
RMSEDifference,-1.786810759557901,-2.5015617769977716,-1.1046665094631791,0.0,1000,5
Skill,0.44755018702176674,0.3231865714103222,0.5755184591686825,0.0,1000,5
WeightedRMSEDifference,-1.959121528839037,-3.2601699348844537,-1.1962511943814087,0.0,1000,5
WeightedSkill,0.5463475219822285,0.3897715512121257,0.7163432790102826,0.0,1000,5
