Feature,ObservedImprovementPct,FoldWinRate,StabilitySelectionProbability,RawPermutationP,BH_QValue,MaxNullAdjustedP,RetainAfterMultiplicityControl,Horizon
origin_year_index,1.9057973891297249,0.6,0.57,0.0476190476190476,0.3061224489795918,0.0476190476190476,False,1
reserve_pct_lag3,1.0484543597980185,0.6,0.545,0.0476190476190476,0.3061224489795918,0.1428571428571428,False,1
ast_tested_per_100k,0.8501552805837679,0.8,0.873,0.0476190476190476,0.3061224489795918,0.1904761904761904,False,1
log_population,0.5650064079881046,0.8,0.684,0.0476190476190476,0.3061224489795918,0.4761904761904761,False,1
population_growth3,0.5069165002477958,0.6,0.383,0.0952380952380952,0.5357142857142857,0.5714285714285714,False,1
family_consumption_lag3,0.4601860026062644,0.4,0.277,0.0476190476190476,0.3061224489795918,0.7142857142857143,False,1
gdp_per_capita,0.2506947231714343,0.6,0.439,0.4285714285714285,1.0,0.9047619047619048,False,1
population,0.1954121183565663,0.8,0.0,0.0476190476190476,0.3061224489795918,0.9047619047619048,False,1
reported_resistant_per_100k,0.1464366424377837,0.6,0.179,0.0476190476190476,0.3061224489795918,0.9523809523809524,False,1
eu_resistance_excl_country,0.1323981387116953,0.4,0.139,0.1428571428571428,0.7142857142857142,1.0,False,1
health_expenditure_change1,0.062726821333801,0.4,0.183,0.1904761904761904,0.8571428571428571,1.0,False,1
trend_x_volatility,0.0479803492764915,0.6,0.023,0.5238095238095238,1.0,1.0,False,1
log_gdp_per_capita,0.03129848088573,0.4,0.271,0.8571428571428571,1.0,1.0,False,1
other_antibiotic_mean,-0.030678583010375,0.4,0.0,0.3333333333333333,1.0,1.0,False,1
other_high_resistance_count,-0.0441763088721395,0.6,0.0,0.3809523809523809,1.0,1.0,False,1
other_antibiotic_sd,-0.0525269643607423,0.2,0.0,0.4761904761904761,1.0,1.0,False,1
resistance_x_eu_gap,-0.1641068113630723,0.0,0.0,0.5714285714285714,1.0,1.0,False,1
tested_growth1,-0.2517455376799646,0.2,0.059,0.8571428571428571,1.0,1.0,False,1
resistance_gap_to_eu,-0.2898025244544485,0.4,0.0,0.8095238095238095,1.0,1.0,False,1
country_profile_gap,-0.2935635033383799,0.4,0.005,0.5714285714285714,1.0,1.0,False,1
family_consumption_trend3,-0.3561981446883556,0.6,0.285,0.7619047619047619,1.0,1.0,False,1
health_expenditure_pct_gdp,-0.5145877096805526,0.4,0.0,1.0,1.0,1.0,False,1
urban_pct,-0.5170548455686312,0.2,0.0,1.0,1.0,1.0,False,1
age65_change1,-0.6678943511960594,0.4,0.0,1.0,1.0,1.0,False,1
urban_change1,-0.7286531095428812,0.2,0.0,1.0,1.0,1.0,False,1
testing_volatility4,-0.7342402036258705,0.4,0.0,1.0,1.0,1.0,False,1
gdp_growth1,-0.7532188709974215,0.2,0.006,1.0,1.0,1.0,False,1
reserve_change1,-0.8072802219621015,0.6,0.013,0.9523809523809524,1.0,1.0,False,1
reserve_pct_lag2,-0.923448658167094,0.6,0.057,1.0,1.0,1.0,False,1
reserve_mean3,-0.9374730758273278,0.6,0.047,1.0,1.0,1.0,False,1
family_consumption_mean3,-1.138925474533964,0.2,0.0,1.0,1.0,1.0,False,1
family_consumption_lag2,-1.161967796826593,0.2,0.0,1.0,1.0,1.0,False,1
trend_x_consumption,-1.1895305419410205,0.4,0.0,0.9523809523809524,1.0,1.0,False,1
resistance_x_consumption,-1.27245474926823,0.2,0.0,1.0,1.0,1.0,False,1
family_consumption_sum3,-1.2866192220004016,0.2,0.0,1.0,1.0,1.0,False,1
family_consumption_change1,-1.522363316335985,0.4,0.054,1.0,1.0,1.0,False,1
population_growth1,-1.5381559179438986,0.4,0.053,1.0,1.0,1.0,False,1
consumption_community_lag1,-1.620279603354203,0.2,0.003,1.0,1.0,1.0,False,1
family_consumption_lag1,-1.6315494605466228,0.2,0.0,1.0,1.0,1.0,False,1
family_consumption_volatility3,-1.832096770228798,0.2,0.0,1.0,1.0,1.0,False,1
age65_pct,-1.91475629101329,0.2,0.026,1.0,1.0,1.0,False,1
hospital_community_ratio_lag1,-2.145036212433064,0.0,0.0,1.0,1.0,1.0,False,1
reserve_pct_lag1,-2.4328001129714987,0.2,0.0,1.0,1.0,1.0,False,1
consumption_hospital_lag1,-2.446043030905753,0.0,0.0,1.0,1.0,1.0,False,1
eu_resistance_change1,-6.45857979993004,0.2,0.0,1.0,1.0,1.0,False,1
origin_year_index,9.139374038775005,1.0,1.0,0.0476190476190476,0.0892857142857142,0.0476190476190476,True,3
population_growth3,8.116401148661279,0.6,0.651,0.0476190476190476,0.0892857142857142,0.0476190476190476,False,3
family_consumption_lag3,8.11127217112319,0.6,0.671,0.0476190476190476,0.0892857142857142,0.0476190476190476,False,3
family_consumption_trend3,7.0709031805549545,0.6,0.681,0.0476190476190476,0.0892857142857142,0.0476190476190476,False,3
reserve_pct_lag3,6.866448639099387,0.6,0.673,0.0476190476190476,0.0892857142857142,0.0476190476190476,False,3
reserve_pct_lag2,6.443598806992252,0.8,0.938,0.0476190476190476,0.0892857142857142,0.0952380952380952,True,3
reserve_change1,6.050697758646085,0.8,0.944,0.0476190476190476,0.0892857142857142,0.1428571428571428,False,3
reserve_mean3,5.940387665731947,0.8,0.935,0.0476190476190476,0.0892857142857142,0.1428571428571428,False,3
resistance_x_consumption,5.7186878555710265,0.8,0.957,0.0476190476190476,0.0892857142857142,0.1904761904761904,False,3
family_consumption_mean3,5.232748414762684,0.8,0.948,0.0476190476190476,0.0892857142857142,0.238095238095238,False,3
family_consumption_lag2,5.173126875293685,0.8,0.944,0.0476190476190476,0.0892857142857142,0.238095238095238,False,3
family_consumption_sum3,5.108142976233705,0.8,0.949,0.0476190476190476,0.0892857142857142,0.2857142857142857,False,3
family_consumption_change1,4.797972747741691,0.8,0.954,0.0476190476190476,0.0892857142857142,0.4285714285714285,False,3
family_consumption_volatility3,4.765969770609414,0.8,0.941,0.0476190476190476,0.0892857142857142,0.4285714285714285,False,3
ast_tested_per_100k,4.475689566609879,0.8,0.943,0.0476190476190476,0.0892857142857142,0.5714285714285714,False,3
consumption_hospital_lag1,3.937924948927229,1.0,1.0,0.0476190476190476,0.0892857142857142,0.6666666666666666,False,3
trend_x_consumption,3.822492289859223,0.8,0.945,0.0476190476190476,0.0892857142857142,0.7142857142857143,False,3
population_growth1,3.761485763327112,1.0,1.0,0.0476190476190476,0.0892857142857142,0.7142857142857143,False,3
eu_resistance_excl_country,3.752399197208733,1.0,1.0,0.0476190476190476,0.0892857142857142,0.7142857142857143,False,3
age65_change1,3.7497666796281486,1.0,1.0,0.0476190476190476,0.0892857142857142,0.7142857142857143,False,3
testing_volatility4,3.61730917603102,1.0,1.0,0.0476190476190476,0.0892857142857142,0.8571428571428571,False,3
reserve_pct_lag1,3.525698621670754,1.0,1.0,0.0476190476190476,0.0892857142857142,0.8571428571428571,False,3
reported_resistant_per_100k,3.473187492092942,0.8,0.945,0.0952380952380952,0.147783251231527,0.8571428571428571,False,3
urban_change1,3.260079255349808,1.0,1.0,0.0476190476190476,0.0892857142857142,0.9047619047619048,False,3
hospital_community_ratio_lag1,3.220285360935764,0.8,0.91,0.0952380952380952,0.147783251231527,0.9047619047619048,False,3
log_gdp_per_capita,3.0383447910352963,0.8,0.939,0.5238095238095238,0.5481727574750831,1.0,False,3
consumption_community_lag1,2.851566652104048,1.0,0.996,0.1428571428571428,0.1948051948051948,1.0,False,3
urban_pct,2.7334329072821566,1.0,1.0,0.3333333333333333,0.3947368421052631,1.0,False,3
gdp_per_capita,2.5519128479576136,0.8,0.904,0.5238095238095238,0.5481727574750831,1.0,False,3
family_consumption_lag1,2.364705222516552,0.8,0.889,0.2857142857142857,0.3571428571428571,1.0,False,3
log_population,2.2267683038541453,1.0,1.0,0.3333333333333333,0.3947368421052631,1.0,False,3
other_antibiotic_sd,2.1471237546407176,1.0,0.986,0.1428571428571428,0.1948051948051948,1.0,False,3
population,2.1147932551155164,1.0,1.0,0.3809523809523809,0.4285714285714285,1.0,False,3
health_expenditure_change1,1.7067350150936298,0.6,0.7,0.0476190476190476,0.0892857142857142,1.0,False,3
resistance_gap_to_eu,1.648255805277124,0.6,0.596,0.1428571428571428,0.1948051948051948,1.0,False,3
other_antibiotic_mean,1.6212364338532224,0.6,0.68,0.2857142857142857,0.3571428571428571,1.0,False,3
age65_pct,1.5736049607648583,0.6,0.685,0.238095238095238,0.315126050420168,1.0,False,3
tested_growth1,1.571256154312328,0.8,0.948,0.0952380952380952,0.147783251231527,1.0,False,3
resistance_x_eu_gap,1.4338856496106571,0.6,0.675,0.1428571428571428,0.1948051948051948,1.0,False,3
health_expenditure_pct_gdp,1.3939700205242571,1.0,0.999,0.9047619047619048,0.9047619047619048,1.0,False,3
other_high_resistance_count,1.1732211806460144,0.6,0.617,0.3809523809523809,0.4285714285714285,1.0,False,3
gdp_growth1,0.9534186473908228,0.6,0.401,0.0952380952380952,0.147783251231527,1.0,False,3
country_profile_gap,0.7758405270166017,0.8,0.592,0.6190476190476191,0.6331168831168831,1.0,False,3
eu_resistance_change1,0.7144699743313438,0.4,0.314,0.0952380952380952,0.147783251231527,1.0,False,3
trend_x_volatility,0.3091452987646365,0.4,0.298,0.4285714285714285,0.470383275261324,1.0,False,3
urban_change1,6.645992260411219,1.0,1.0,0.0476190476190476,0.0824175824175824,0.1428571428571428,False,5
family_consumption_lag2,5.795906172104486,0.6666666666666666,0.735,0.0476190476190476,0.0824175824175824,0.5238095238095238,False,5
population_growth1,5.768396992622228,1.0,1.0,0.0476190476190476,0.0824175824175824,0.5238095238095238,False,5
consumption_community_lag1,5.691804742817628,1.0,1.0,0.0476190476190476,0.0824175824175824,0.5238095238095238,False,5
family_consumption_mean3,5.578675226750256,0.6666666666666666,0.741,0.0476190476190476,0.0824175824175824,0.7619047619047619,False,5
origin_year_index,5.526881252360088,0.6666666666666666,0.744,0.0476190476190476,0.0824175824175824,0.8095238095238095,False,5
hospital_community_ratio_lag1,5.291198310207802,1.0,0.961,0.0476190476190476,0.0824175824175824,0.9047619047619048,False,5
testing_volatility4,5.011882704011217,1.0,1.0,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
trend_x_consumption,4.950940921750757,0.6666666666666666,0.741,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
family_consumption_sum3,4.84565754118986,0.6666666666666666,0.738,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
family_consumption_volatility3,4.820043468395,0.6666666666666666,0.734,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
resistance_x_consumption,4.813529772693916,0.6666666666666666,0.724,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
age65_change1,4.777890586291034,1.0,1.0,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
consumption_hospital_lag1,4.641259025898478,1.0,1.0,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
reserve_mean3,4.632490697221076,0.6666666666666666,0.735,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
population_growth3,4.622542055205081,0.6666666666666666,0.61,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
family_consumption_lag1,4.598716105200218,1.0,1.0,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
log_population,4.43117503142731,1.0,1.0,0.6190476190476191,0.8108108108108109,0.9523809523809524,False,5
family_consumption_change1,4.256808455600096,0.6666666666666666,0.747,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
reserve_pct_lag2,4.256345787419655,0.6666666666666666,0.726,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
reserve_change1,4.102266024195777,0.6666666666666666,0.756,0.0476190476190476,0.0824175824175824,0.9523809523809524,False,5
urban_pct,4.011842168822318,1.0,1.0,0.9047619047619048,0.9693877551020408,1.0,False,5
reserve_pct_lag1,4.011179350428809,1.0,1.0,0.1428571428571428,0.2216748768472906,1.0,False,5
ast_tested_per_100k,3.982778803586524,1.0,0.965,0.7619047619047619,0.8571428571428571,1.0,False,5
reserve_pct_lag3,3.9130199294951713,0.6666666666666666,0.619,0.0476190476190476,0.0824175824175824,1.0,False,5
gdp_per_capita,3.873407274448398,1.0,1.0,0.7619047619047619,0.8571428571428571,1.0,False,5
log_gdp_per_capita,3.788907028899212,1.0,1.0,0.9523809523809524,0.974025974025974,1.0,False,5
health_expenditure_change1,3.6934484418696,1.0,1.0,0.0476190476190476,0.0824175824175824,1.0,False,5
family_consumption_trend3,3.5797867328954998,0.6666666666666666,0.645,0.0476190476190476,0.0824175824175824,1.0,False,5
tested_growth1,3.3777266151082146,1.0,1.0,0.0476190476190476,0.0824175824175824,1.0,False,5
family_consumption_lag3,2.991515915255269,0.6666666666666666,0.64,0.0476190476190476,0.0824175824175824,1.0,False,5
health_expenditure_pct_gdp,2.798488797247086,1.0,1.0,1.0,1.0,1.0,False,5
reported_resistant_per_100k,2.793609310069188,0.6666666666666666,0.731,0.9047619047619048,0.9693877551020408,1.0,False,5
eu_resistance_change1,2.6672909822661954,1.0,1.0,0.0476190476190476,0.0824175824175824,1.0,False,5
population,2.4527061968198947,1.0,0.957,0.9523809523809524,0.974025974025974,1.0,False,5
other_antibiotic_sd,1.9953613908883965,0.6666666666666666,0.741,0.3809523809523809,0.5714285714285714,1.0,False,5
age65_pct,1.940394135470337,1.0,1.0,0.6666666666666666,0.8108108108108109,1.0,False,5
gdp_growth1,1.588627852860914,0.6666666666666666,0.616,0.0952380952380952,0.1587301587301587,1.0,False,5
eu_resistance_excl_country,1.2442160854917588,0.6666666666666666,0.627,0.1428571428571428,0.2216748768472906,1.0,False,5
other_antibiotic_mean,1.0754079258179363,0.6666666666666666,0.741,0.6666666666666666,0.8108108108108109,1.0,False,5
trend_x_volatility,0.4730308536072334,0.6666666666666666,0.393,0.4761904761904761,0.6912442396313364,1.0,False,5
country_profile_gap,0.3795197424884217,0.6666666666666666,0.274,0.7619047619047619,0.8571428571428571,1.0,False,5
other_high_resistance_count,0.2559944711116149,0.3333333333333333,0.255,0.6190476190476191,0.8108108108108109,1.0,False,5
resistance_x_eu_gap,0.0618744763886832,0.6666666666666666,0.0,0.5238095238095238,0.7366071428571429,1.0,False,5
resistance_gap_to_eu,-0.3321026382544839,0.3333333333333333,0.0,0.6666666666666666,0.8108108108108109,1.0,False,5
