Feature,ObservedImprovementPct,FoldWinRate,StabilitySelectionProbability,RawPermutationP,BH_QValue,MaxNullAdjustedP,RetainAfterMultiplicityControl,Horizon
urban_change1,6.645992260411219,1.0,1.0,0.047619047619047616,0.08241758241758242,0.14285714285714285,False,5
family_consumption_lag2,5.795906172104486,0.6666666666666666,0.735,0.047619047619047616,0.08241758241758242,0.5238095238095238,False,5
population_growth1,5.768396992622228,1.0,1.0,0.047619047619047616,0.08241758241758242,0.5238095238095238,False,5
consumption_community_lag1,5.691804742817628,1.0,1.0,0.047619047619047616,0.08241758241758242,0.5238095238095238,False,5
family_consumption_mean3,5.5786752267502555,0.6666666666666666,0.741,0.047619047619047616,0.08241758241758242,0.7619047619047619,False,5
origin_year_index,5.526881252360088,0.6666666666666666,0.744,0.047619047619047616,0.08241758241758242,0.8095238095238095,False,5
hospital_community_ratio_lag1,5.291198310207802,1.0,0.961,0.047619047619047616,0.08241758241758242,0.9047619047619048,False,5
testing_volatility4,5.011882704011217,1.0,1.0,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
trend_x_consumption,4.950940921750757,0.6666666666666666,0.741,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
family_consumption_sum3,4.84565754118986,0.6666666666666666,0.738,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
family_consumption_volatility3,4.820043468395,0.6666666666666666,0.734,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
resistance_x_consumption,4.813529772693916,0.6666666666666666,0.724,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
age65_change1,4.777890586291034,1.0,1.0,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
consumption_hospital_lag1,4.641259025898478,1.0,1.0,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
reserve_mean3,4.632490697221076,0.6666666666666666,0.735,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
population_growth3,4.622542055205081,0.6666666666666666,0.61,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
family_consumption_lag1,4.598716105200218,1.0,1.0,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
log_population,4.43117503142731,1.0,1.0,0.6190476190476191,0.8108108108108109,0.9523809523809523,False,5
family_consumption_change1,4.256808455600096,0.6666666666666666,0.747,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
reserve_pct_lag2,4.256345787419655,0.6666666666666666,0.726,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
reserve_change1,4.102266024195777,0.6666666666666666,0.756,0.047619047619047616,0.08241758241758242,0.9523809523809523,False,5
urban_pct,4.011842168822318,1.0,1.0,0.9047619047619048,0.9693877551020409,1.0,False,5
reserve_pct_lag1,4.011179350428809,1.0,1.0,0.14285714285714285,0.22167487684729062,1.0,False,5
ast_tested_per_100k,3.982778803586524,1.0,0.965,0.7619047619047619,0.8571428571428571,1.0,False,5
reserve_pct_lag3,3.9130199294951713,0.6666666666666666,0.619,0.047619047619047616,0.08241758241758242,1.0,False,5
gdp_per_capita,3.873407274448398,1.0,1.0,0.7619047619047619,0.8571428571428571,1.0,False,5
log_gdp_per_capita,3.788907028899212,1.0,1.0,0.9523809523809523,0.9740259740259739,1.0,False,5
health_expenditure_change1,3.6934484418695996,1.0,1.0,0.047619047619047616,0.08241758241758242,1.0,False,5
family_consumption_trend3,3.5797867328954993,0.6666666666666666,0.645,0.047619047619047616,0.08241758241758242,1.0,False,5
tested_growth1,3.3777266151082146,1.0,1.0,0.047619047619047616,0.08241758241758242,1.0,False,5
family_consumption_lag3,2.9915159152552695,0.6666666666666666,0.64,0.047619047619047616,0.08241758241758242,1.0,False,5
health_expenditure_pct_gdp,2.798488797247086,1.0,1.0,1.0,1.0,1.0,False,5
reported_resistant_per_100k,2.793609310069188,0.6666666666666666,0.731,0.9047619047619048,0.9693877551020409,1.0,False,5
eu_resistance_change1,2.6672909822661954,1.0,1.0,0.047619047619047616,0.08241758241758242,1.0,False,5
population,2.4527061968198947,1.0,0.957,0.9523809523809523,0.9740259740259739,1.0,False,5
other_antibiotic_sd,1.9953613908883965,0.6666666666666666,0.741,0.38095238095238093,0.5714285714285714,1.0,False,5
age65_pct,1.9403941354703367,1.0,1.0,0.6666666666666666,0.8108108108108109,1.0,False,5
gdp_growth1,1.5886278528609141,0.6666666666666666,0.616,0.09523809523809523,0.15873015873015872,1.0,False,5
eu_resistance_excl_country,1.2442160854917588,0.6666666666666666,0.627,0.14285714285714285,0.22167487684729062,1.0,False,5
other_antibiotic_mean,1.0754079258179363,0.6666666666666666,0.741,0.6666666666666666,0.8108108108108109,1.0,False,5
trend_x_volatility,0.4730308536072334,0.6666666666666666,0.393,0.47619047619047616,0.6912442396313364,1.0,False,5
country_profile_gap,0.3795197424884217,0.6666666666666666,0.274,0.7619047619047619,0.8571428571428571,1.0,False,5
other_high_resistance_count,0.2559944711116149,0.3333333333333333,0.255,0.6190476190476191,0.8108108108108109,1.0,False,5
resistance_x_eu_gap,0.06187447638868321,0.6666666666666666,0.0,0.5238095238095238,0.7366071428571429,1.0,False,5
resistance_gap_to_eu,-0.3321026382544839,0.3333333333333333,0.0,0.6666666666666666,0.8108108108108109,1.0,False,5
