Horizon,OuterTargetYear,InnerValidationYear,Shrinkage,RMSE,MAE,R2,WeightedRMSE
1,2019,2018,2.0,2.3691086603746965,1.5308238461876922,0.9860048905371688,1.3864885863888956
1,2019,2018,5.0,2.3198425977095964,1.4930211077363087,0.9865809003899438,1.356570048743602
1,2019,2018,10.0,2.2630786514158725,1.4526206799997867,0.9872295666576228,1.3227796420480065
1,2019,2018,20.0,2.1957710421131,1.402745410131934,0.9879778969689802,1.2849989717388397
1,2019,2018,50.0,2.119938896684448,1.3467535405705908,0.9887939378761677,1.2445653371641543
1,2020,2019,2.0,2.523938196410197,1.611455637712753,0.9840713675563176,1.5512462883449731
1,2020,2019,5.0,2.514996616142844,1.5953365291107109,0.9841840286799008,1.5386352373766925
1,2020,2019,10.0,2.505174760365322,1.5771949971850825,0.9843073201850636,1.5240347057745214
1,2020,2019,20.0,2.49479553593845,1.5573109013491309,0.9844370839344794,1.5073241072213484
1,2020,2019,50.0,2.485898726897669,1.5342001699361962,0.9845478853251696,1.4892996141749852
1,2021,2020,2.0,2.1997912580300354,1.3933049357714993,0.9872974306740188,1.2009461963543966
1,2021,2020,5.0,2.187676251336829,1.3877572625210588,0.9874369602267096,1.1916098037872265
1,2021,2020,10.0,2.172648101211713,1.3830241994805712,0.98760896993187,1.1803420058202423
1,2021,2020,20.0,2.153699804685311,1.3788185636229804,0.987824159018998,1.166826248715124
1,2021,2020,50.0,2.1298726190913966,1.3769068231396342,0.988092080473244,1.151544102865083
1,2022,2021,2.0,2.15808871351656,1.376688898273559,0.9872923214259004,1.471400677809329
1,2022,2021,5.0,2.149523882162843,1.3712195665962463,0.9873929874899658,1.4682799247758938
1,2022,2021,10.0,2.138479775853705,1.3648261485976418,0.9875222026173452,1.4645501120118196
1,2022,2021,20.0,2.123851745616484,1.3584641662860295,0.9876923247073998,1.460242818154418
1,2022,2021,50.0,2.1041623901092263,1.3520267884495918,0.987919465724233,1.4560919124139806
1,2023,2022,2.0,1.725622575127193,1.1802521266815251,0.991817930487943,1.1684256184149966
1,2023,2022,5.0,1.7238153262580864,1.1773479208025694,0.9918350597175156,1.1638937162410226
1,2023,2022,10.0,1.721834343006723,1.1736085296960213,0.9918538149935476,1.1579145962616264
1,2023,2022,20.0,1.720063639050354,1.169673665738472,0.9918705611632797,1.14974697994874
1,2023,2022,50.0,1.7201920647597706,1.1682735525973311,0.9918693471757254,1.1382455738089898
3,2021,2020,2.0,2.277665822590982,1.588710132536981,0.9863821470482552,1.526436199455042
3,2021,2020,5.0,2.278796919806407,1.5887337947291733,0.9863686183382724,1.5278675348888766
3,2021,2020,10.0,2.2807575698370552,1.5892395356971067,0.9863451516869296,1.5299797695698687
3,2021,2020,20.0,2.28409597031477,1.5904964134865864,0.98630514856259,1.533163462127106
3,2021,2020,50.0,2.2898231898388395,1.5964536824584006,0.9862363845921978,1.5381201606552644
3,2022,2021,2.0,2.5719104768949816,1.80980367039306,0.9819515741478916,2.0739300043707547
3,2022,2021,5.0,2.5685459990244603,1.808566262896514,0.9819987638240396,2.075320964357504
3,2022,2021,10.0,2.5644732339597938,1.8069944633717985,0.982055805185765,2.077257136161974
3,2022,2021,20.0,2.5594839666162708,1.8060121204950896,0.9821255593121044,2.080093062025558
3,2022,2021,50.0,2.553349822795709,1.805710415276691,0.9822111335939806,2.0845334937251345
3,2023,2022,2.0,2.143010565981851,1.3647829863246048,0.987381138840544,1.518080959576325
3,2023,2022,5.0,2.1445513477421385,1.3660966119051474,0.9873629868995774,1.5181830331637023
3,2023,2022,10.0,2.146765509907455,1.367862652650517,0.987336879023326,1.5184134645676255
3,2023,2022,20.0,2.1501758509568214,1.3704672217929357,0.987296613923794,1.518919258107608
3,2023,2022,50.0,2.155958531531235,1.3745223809663958,0.987228193096748,1.5200385643795995
5,2021,2020,2.0,2.778138033035815,1.914725074601876,0.979722364133785,1.846511209089481
5,2021,2020,5.0,2.802795678402276,1.9268196738280188,0.9793608143167006,1.868489751424572
5,2021,2020,10.0,2.829404072797914,1.939426323564204,0.9789670771624616,1.8925604140935584
5,2021,2020,20.0,2.8578908805771213,1.9538636562353933,0.978541420714,1.918575667252175
5,2021,2020,50.0,2.888178893595206,1.9701257692929988,0.9780841731941962,1.9463801010902275
5,2022,2021,2.0,2.761469945953922,2.1064377910204533,0.9791930570481012,2.33867248083712
5,2022,2021,5.0,2.771314390554384,2.114313537754102,0.9790444420652032,2.348789644408253
5,2022,2021,10.0,2.7836527428378752,2.1239145726213406,0.978857431434815,2.3610650615607924
5,2022,2021,20.0,2.7992580514112,2.136493211308192,0.978619714192406,2.3761007051273486
5,2022,2021,50.0,2.8191919628369937,2.154025345979766,0.9783141259222704,2.3946930301991065
5,2023,2022,2.0,2.2080563808907043,1.4776039240307806,0.986603484389834,1.362605267682959
5,2023,2022,5.0,2.2147034617574035,1.480485270373871,0.9865227058762536,1.3641013853573491
5,2023,2022,10.0,2.2236431779351977,1.4837208278771004,0.9864136832884732,1.366714624550602
5,2023,2022,20.0,2.2361762182981915,1.4884231854070558,0.9862600995454406,1.3711104599788562
5,2023,2022,50.0,2.254473713685914,1.4966278108335704,0.9860343263473912,1.3785782069233716
