TargetYear,N,ModelRMSE,PersistenceRMSE,RMSEDifference,Skill,ModelMAE,PersistenceMAE,ModelWeightedRMSE,PersistenceWeightedRMSE,WeightedSkill,ModelR2,ModelWins,Horizon,Evaluation
2019,144,2.484529649808551,2.534295515571229,-0.0497658657626773,0.0196369624050967,1.5155270484656744,1.50034600866346,1.4738377271925105,1.4927598378391405,0.0126759242625532,0.9845649007494024,True,1,Frozen specification
2020,144,2.1023037596565404,2.4777366618839034,-0.375432902227363,0.1515225197264947,1.3831687619513664,1.5751676156435854,1.1393838071716256,1.5302952103451295,0.2554483608985101,0.9883983552190762,True,1,Frozen specification
2021,144,2.0779905004350203,2.343441702358005,-0.2654512019229846,0.1132740795966393,1.3442145172523097,1.510968435503511,1.4567016045572654,1.638833020555827,0.1111348219825286,0.9882181157942894,True,1,Frozen specification
2022,144,1.7315127684205305,1.8261521283099529,-0.0946393598894226,0.0518244665503352,1.1756629579093965,1.1218857559892563,1.123111723123049,0.881475203701687,-0.2741274155037239,0.9917619782494198,True,1,Frozen specification
2023,144,3.034265929448229,2.461357141025988,0.5729087884222408,-0.232761340836312,1.729295196480089,1.4295563341569402,1.690004977490989,1.3003594696633898,-0.2996444574887149,0.9752522009673756,False,1,Frozen specification
Pooled,720,2.328755865107189,2.3429324492886776,-0.0141765841814884,0.0060507865627079,1.4295736964117671,1.4275848299913505,1.390959095824084,1.3856348181949003,-0.0038424825641432,0.985609851032354,True,1,Frozen specification
2019,144,2.485898726897669,2.534295515571229,-0.0483967886735596,0.0190967424186326,1.5342001699361962,1.50034600866346,1.4892996141749852,1.4927598378391405,0.0023180042605943,0.9845478853251696,True,1,Partial pooling
2020,144,2.1298726190913966,2.4777366618839034,-0.3478640427925068,0.1403958895809429,1.3769068231396342,1.5751676156435854,1.151544102865083,1.5302952103451295,0.2475019884526897,0.988092080473244,True,1,Partial pooling
2021,144,2.1041623901092263,2.343441702358005,-0.2392793122487786,0.102105937607926,1.3520267884495918,1.510968435503511,1.4560919124139806,1.638833020555827,0.1115068502097107,0.987919465724233,True,1,Partial pooling
2022,144,1.7201920647597706,1.8261521283099529,-0.1059600635501822,0.0580236782618133,1.1682735525973311,1.1218857559892563,1.1382455738089898,0.881475203701687,-0.2912961919167045,0.9918693471757254,True,1,Partial pooling
2023,144,3.0225465529875564,2.461357141025988,0.5611894119615681,-0.2279999934213703,1.7330527932310038,1.4295563341569402,1.707318693374453,1.3003594696633898,-0.3129590187984008,0.9754430007751926,False,1,Partial pooling
Pooled,720,2.3340264618267,2.3429324492886776,-0.0089059874619779,0.0038012139294421,1.4328920254707511,1.4275848299913505,1.4027433280842914,1.3856348181949003,-0.0123470554180205,0.985544639816822,True,1,Partial pooling
2021,144,2.220328019789283,2.343441702358005,-0.123113682568722,0.0525354150883476,1.4406199684855454,1.510968435503511,1.4889548380916384,1.638833020555827,0.0914542119814963,0.9865487726334736,True,1,Nested pipeline
2022,144,1.730219062321657,1.8261521283099529,-0.0959330659882962,0.052532899368619,1.1499317212654607,1.1218857559892563,1.1115008402430138,0.881475203701687,-0.2609553117040071,0.9917742837868102,True,1,Nested pipeline
2023,144,3.034265929448257,2.461357141025988,0.5729087884222683,-0.2327613408363233,1.7292951964801222,1.4295563341569402,1.690004977491033,1.3003594696633898,-0.2996444574887487,0.9752522009673752,False,1,Nested pipeline
Pooled,432,2.3895804547865107,2.227467140330857,0.1621133144556532,-0.0727792170400205,1.4399489620770427,1.3541368418832358,1.444277746438817,1.3019621252147875,-0.1093085723984106,0.9844633425474492,False,1,Nested pipeline
2021,144,2.397526456949247,3.4574349801780904,-1.0599085232288434,0.3065592062628602,1.728209115865571,2.4831815738839564,2.0018152752898555,3.2362799537032028,0.3814455782790907,0.9843160860408404,True,3,Frozen specification
2022,144,2.057225239897757,3.1606725747254223,-1.1034473348276652,0.3491178882784229,1.315624882775769,2.0601173981791536,1.462152472736106,2.993841449234806,0.5116132575725356,0.9883711913221068,True,3,Frozen specification
2023,139,2.083025217777577,2.330583783474557,-0.2475585656969805,0.1062216975216,1.4089880884391952,1.5434049271460402,1.323345882688669,1.529682485208644,0.1348885173983223,0.9884059670023904,True,3,Frozen specification
Pooled,427,2.1859058011160597,3.027929787088962,-0.8420239859729026,0.2780857038242028,1.4851555974178012,2.034586268970463,1.6172810574978336,2.697034743599844,0.4003484525604658,0.9870249194841012,True,3,Frozen specification
2021,144,2.5719104768949816,3.4574349801780904,-0.8855245032831087,0.2561218094801296,1.80980367039306,2.4831815738839564,2.0739300043707547,3.2362799537032028,0.3591623610937604,0.9819515741478916,True,3,Partial pooling
2022,144,2.155958531531235,3.1606725747254223,-1.0047140431941872,0.3178798244489055,1.3745223809663958,2.0601173981791536,1.5200385643795995,2.993841449234806,0.4922782017170264,0.987228193096748,True,3,Partial pooling
2023,139,2.088733275220892,2.330583783474557,-0.2418505082536652,0.1037725011083282,1.3943342986199487,1.5434049271460402,1.3015205767392266,1.529682485208644,0.1491563842010631,0.9883423383140773,True,3,Partial pooling
Pooled,427,2.284396183954582,3.027929787088962,-0.74353360313438,0.245558403072883,1.5277644470818137,2.034586268970463,1.6588763445052976,2.697034743599844,0.3849258529420623,0.98582934162401,True,3,Partial pooling
2021,144,2.459485188217938,3.4574349801780904,-0.9979497919601524,0.2886387734495439,1.7834579009680454,2.4831815738839564,2.059246074742381,3.2362799537032028,0.3636996476815819,0.9834949799091628,True,3,Nested pipeline
2022,144,2.0373146672234963,3.1606725747254223,-1.123357907501926,0.3554173616352891,1.3001446059113724,2.0601173981791536,1.4791667849515653,2.993841449234806,0.5059301536059551,0.9885951977069553,True,3,Nested pipeline
2023,139,2.082737965451887,2.330583783474557,-0.2478458180226703,0.1063449509003142,1.3971387640312465,1.5434049271460402,1.4045540179604292,1.529682485208644,0.0818002876140323,0.9884091644512544,True,3,Nested pipeline
Pooled,427,2.2026773676139992,3.027929787088962,-0.8252524194749626,0.2725467489351385,1.494709717074893,2.034586268970463,1.6677227194080917,2.697034743599844,0.3816458155143699,0.9868250506229532,True,3,Nested pipeline
2021,144,2.534676604607971,4.195955394424229,-1.661278789816258,0.3959238441914418,1.9289047991441373,2.979850436273457,2.2255636254910325,3.7462946109511535,0.4059293631138155,0.9824703701030788,True,5,Frozen specification
2022,144,2.01052001113841,4.1611858966016895,-2.15066588546328,0.5168396555461896,1.3069631199729783,2.7923938416702137,1.1475040695168433,3.940256889144432,0.7087743003055806,0.9888932157038288,True,5,Frozen specification
2023,139,1.97607938844384,3.4716432835066398,-1.4955638950627994,0.4307942299740426,1.3392522845859145,2.417882426886917,1.302316084242086,2.9887962560856662,0.5642673596133017,0.9895659178134738,True,5,Frozen specification
Pooled,427,2.191101574412384,3.962342672650984,-1.7712410982385998,0.4470186565296637,1.5272155688765965,2.733697502016791,1.6180335265123076,3.588238207356371,0.5490729898602826,0.9869631641254608,True,5,Frozen specification
2021,144,2.7614699459539223,4.195955394424229,-1.434485448470307,0.3418733789154466,2.106437791020454,2.979850436273457,2.33867248083712,3.7462946109511535,0.3757371686677492,0.9791930570481012,True,5,Partial pooling
2022,144,2.2080563808907043,4.1611858966016895,-1.9531295157109847,0.4693684839473394,1.4776039240307806,2.7923938416702137,1.3626052676829588,3.940256889144432,0.6541836468995228,0.986603484389834,True,5,Partial pooling
2023,139,2.153434863806631,3.4716432835066398,-1.3182084197000083,0.3797073351293488,1.450507478915044,2.417882426886917,1.3495461116354182,2.9887962560856662,0.548465001959392,0.9876089258297296,True,5,Partial pooling
Pooled,427,2.392787351491132,3.962342672650984,-1.5695553211598514,0.3961180167463277,1.6808490551207702,2.733697502016791,1.7360725578192815,3.588238207356371,0.5161768930891768,0.9844526854628532,True,5,Partial pooling
2023,139,1.902089637944786,3.4716432835066398,-1.5695536455618533,0.452106831660561,1.2917700391891147,2.417882426886917,1.2630493999963175,2.9887962560856662,0.5774053191399222,0.9903326501380524,True,5,Nested pipeline
Pooled,139,1.902089637944786,3.4716432835066398,-1.5695536455618533,0.452106831660561,1.2917700391891147,2.417882426886917,1.2630493999963175,2.9887962560856662,0.5774053191399222,0.9903326501380524,True,5,Nested pipeline
