TargetYear,N,ModelRMSE,PersistenceRMSE,RMSEDifference,Skill,ModelMAE,PersistenceMAE,ModelWeightedRMSE,PersistenceWeightedRMSE,WeightedSkill,ModelR2,ModelWins,Horizon,Evaluation
2021,144,2.534676604607971,4.195955394424229,-1.661278789816258,0.3959238441914418,1.9289047991441375,2.979850436273457,2.2255636254910325,3.7462946109511535,0.40592936311381556,0.9824703701030788,True,5,Frozen specification
2022,144,2.01052001113841,4.1611858966016895,-2.1506658854632796,0.5168396555461896,1.3069631199729783,2.7923938416702137,1.1475040695168433,3.9402568891444316,0.7087743003055806,0.9888932157038288,True,5,Frozen specification
2023,139,1.97607938844384,3.4716432835066393,-1.4955638950627994,0.4307942299740426,1.3392522845859143,2.4178824268869166,1.302316084242086,2.9887962560856662,0.5642673596133017,0.9895659178134738,True,5,Frozen specification
Pooled,427,2.1911015744123836,3.9623426726509834,-1.7712410982385998,0.44701865652966377,1.5272155688765965,2.733697502016791,1.6180335265123076,3.588238207356371,0.5490729898602826,0.9869631641254608,True,5,Frozen specification
2021,144,2.7614699459539223,4.195955394424229,-1.4344854484703067,0.34187337891544667,2.106437791020454,2.979850436273457,2.33867248083712,3.7462946109511535,0.3757371686677492,0.9791930570481012,True,5,Partial pooling
2022,144,2.2080563808907043,4.1611858966016895,-1.9531295157109851,0.46936848394733943,1.4776039240307806,2.7923938416702137,1.3626052676829588,3.9402568891444316,0.6541836468995228,0.9866034843898341,True,5,Partial pooling
2023,139,2.153434863806631,3.4716432835066393,-1.3182084197000083,0.37970733512934884,1.450507478915044,2.4178824268869166,1.3495461116354182,2.9887962560856662,0.548465001959392,0.9876089258297297,True,5,Partial pooling
Pooled,427,2.392787351491132,3.9623426726509834,-1.5695553211598514,0.39611801674632774,1.6808490551207702,2.733697502016791,1.7360725578192817,3.588238207356371,0.5161768930891768,0.9844526854628531,True,5,Partial pooling
2023,139,1.902089637944786,3.4716432835066393,-1.5695536455618533,0.452106831660561,1.2917700391891147,2.4178824268869166,1.2630493999963175,2.9887962560856662,0.5774053191399222,0.9903326501380525,True,5,Nested pipeline
Pooled,139,1.902089637944786,3.4716432835066393,-1.5695536455618533,0.452106831660561,1.2917700391891147,2.4178824268869166,1.2630493999963175,2.9887962560856662,0.5774053191399222,0.9903326501380525,True,5,Nested pipeline
